combo,size,method,weight_tag,fold_year,num_days,mean_return,cumulative_return,sharpe,ic,rank_ic,positive_years
patchtst+timesnet+wpmixer,3,zscore_mean,equal,-1,2340,0.015063833469581506,-0.810749879722715,0.7512124795945447,0.0017219802911959516,-0.030308380170588147,9.0
patchtst+timesnet,2,top1_gap,selector,-1,2340,0.015020835247217314,-0.621367476786683,0.7542383402384474,0.0030024086673886763,-0.025820393876981738,9.0
patchtst+timemixer,2,mean,equal,-1,2340,0.014984178949951936,-0.6892915204318286,0.7493504307755923,-0.0012214381388989406,-0.03418613540841885,9.0
patchtst+timemixer+timesnet+wpmixer,4,zscore_mean,equal,-1,2340,0.014951927505614415,-0.7914331945618838,0.7458037680278528,0.0007737130606240123,-0.03207967432505168,9.0
patchtst+timesnet+tsmixer+wpmixer,4,mean,equal,-1,2340,0.014907510149218652,-0.8823272854485869,0.7429740571021985,0.0021222305525675903,-0.029678285396379445,8.0
itransformer+patchtst+timemixer+wpmixer,4,zscore_mean,equal,-1,2340,0.014848323827171429,-0.6371124510999815,0.7446823584968788,-0.00026476933143292043,-0.03333639515439438,9.0
itransformer+patchtst+wpmixer,3,zscore_mean,equal,-1,2340,0.014759955050930484,-0.5526767524044138,0.7415700436205374,0.0002783303250777362,-0.032388477679247574,8.0
itransformer+patchtst+timemixer+wpmixer,4,mean,equal,-1,2340,0.01452565008261142,-0.7922796830755225,0.72910647425955,-0.0002985612786337191,-0.03333567117311666,9.0
itransformer+patchtst,2,top1_gap,selector,-1,2340,0.014516205540214253,-0.8899763676807106,0.7255056330695268,0.00041376503725298164,-0.031048549860416247,9.0
dlinear+timemixer+tsmixer+wpmixer,4,mean,equal,-1,2340,0.014382684790632013,-0.7541591678639992,0.7246085439916764,-0.0005602929897206663,-0.03323383627361925,8.0
dlinear+itransformer+timesnet,3,mean,equal,-1,2340,0.014347458577595602,5.88133582316568,0.7662122236709783,0.003909171567253579,-0.02600166581262706,7.0
timemixer+timesnet,2,top1_gap,selector,-1,2340,0.014271516580509399,-0.8398286131807023,0.7205297033996457,0.002329341678822042,-0.027005214100704306,9.0
itransformer+wpmixer,2,rank_mean,equal,-1,2340,0.014210519499511978,11.300413418160453,0.7620932758057515,-0.00029228347724827037,-0.03165588050788286,8.0
itransformer+timesnet,2,rank_mean,equal,-1,2340,0.014189049717101037,4.119587034197533,0.757907183093142,0.002788564007607699,-0.026164540431676358,7.0
dlinear+itransformer+tsmixer,3,mean,equal,-1,2340,0.014179555593599475,128.02623290583946,0.7825614731072081,0.0025527890983979835,-0.02770978723124454,9.0
itransformer+patchtst+wpmixer,3,weighted_rank,"{""dominant"": ""itransformer"", ""weights"": [0.5, 0.25, 0.25]}",-1,2340,0.014105137922178086,9.65553073478468,0.7574228137678857,-0.0003598542635163304,-0.031828845309616834,7.0
itransformer+patchtst,2,rank_mean,equal,-1,2340,0.014043860591505478,12.1546461534653,0.7566731305671529,-0.00039821820467680024,-0.0316820707400233,8.0
timemixer+tsmixer+wpmixer,3,mean,equal,-1,2340,0.01399212313487643,-0.9077748239062028,0.7046908657663206,-0.000728219912768602,-0.03345943461589061,8.0
patchtst+timemixer,2,weighted_rank,"{""dominant"": ""timemixer"", ""weights"": [0.4, 0.6]}",-1,2340,0.013977314694606675,-0.9267495534016474,0.7035498016083277,-0.0016610437245667257,-0.03427315776188546,9.0
itransformer+patchtst,2,weighted_rank,"{""dominant"": ""itransformer"", ""weights"": [0.6, 0.4]}",-1,2340,0.013848291204083709,7.885092157820138,0.7451189008314637,-0.00020280550478000357,-0.03136030327026945,7.0
timesnet+wpmixer,2,zscore_mean,equal,-1,2340,0.013773812221007247,-0.5435740085882541,0.7408544962931722,0.0027890943351675927,-0.028097543177100472,8.0
itransformer+patchtst+tsmixer+wpmixer,4,zscore_mean,equal,-1,2340,0.013633784389424928,48.31778598465696,0.944487695392528,0.0031196821886333584,-0.026513680494815964,9.0
itransformer+wpmixer,2,weighted_rank,"{""dominant"": ""itransformer"", ""weights"": [0.6, 0.4]}",-1,2340,0.01363036173766095,4.0220519298882795,0.7331072225172766,-0.00011587727697490364,-0.031296282123784706,8.0
tsmixer+wpmixer,2,mean,equal,-1,2340,0.013531312967810266,1.849661743161969,0.7572886010856452,0.0005595922618370657,-0.03084775453068344,9.0
dlinear+tsmixer+wpmixer,3,mean,equal,-1,2340,0.013509223745738997,1.416119102486983,0.7557904003112008,0.0006988975842222107,-0.030566423270943652,9.0
patchtst+timemixer,2,top1_gap,selector,-1,2340,0.013407910919100053,-0.9929497420621062,0.6707172264987951,-0.0010774690817145387,-0.03318589210640077,9.0
itransformer+timesnet+wpmixer,3,weighted_rank,"{""dominant"": ""itransformer"", ""weights"": [0.5, 0.25, 0.25]}",-1,2340,0.013326210223127157,0.5881124324867446,0.7145508614733189,0.0012098161374669634,-0.029638800126677873,6.0
itransformer+timemixer+wpmixer,3,zscore_mean,equal,-1,2340,0.013319420262944524,-0.9552492242766331,0.6757861616283497,-0.00014728253978479004,-0.03311792266635291,8.0
timemixer+wpmixer,2,zscore_mean,equal,-1,2340,0.01325510161342386,-0.9584797671023071,0.67167483876766,-0.0011094734568877287,-0.03400560365962787,8.0
itransformer+patchtst,2,mean,equal,-1,2340,0.013230671652786114,-0.05978051109819349,0.7205085218944888,0.00042462300697441356,-0.03178145970458626,8.0
