date,n,n_tradable,top1_code,top1_true,top1_pred_gap,best_true_all,best_true_tradable,regret_vs_best_tradable,top3_mean,top5_mean,score_std,score_max_prob,score_entropy,hit_top1_in_true10,hit_top1_in_true20,hit_top1_in_true50,overlap_pred10_true10,overlap_pred10_true20,overlap_pred10_true50,overlap_pred20_true10,overlap_pred20_true20,overlap_pred20_true50,overlap_pred50_true10,overlap_pred50_true20,overlap_pred50_true50
2024-04-23,2811,2808,SH600076,0.05945946,0.003915499999999961,0.2749411,0.2749411,0.21548164,0.064358391,0.06766763760000001,0.004715274741012489,0.000365978780709073,7.941284438998672,0,0,0,2,4,6,4,6,10,4,6,10
2024-04-24,2810,2807,SZ000889,-0.11111111,0.015067139999999979,0.20338982,0.20338982,0.31450093,0.037562291,0.059294130599999995,0.0048284220789378005,0.00037006734481724503,7.940928085709334,0,0,0,3,3,3,3,3,4,4,5,6
2024-04-25,2809,2808,SZ000889,-0.75,0.011106300000000013,0.2237158,0.2237158,0.9737158,-0.22020344283333335,-0.1484938552,0.004755316210605315,0.00036854784828654164,7.940572505052813,0,0,0,0,0,0,1,1,1,3,3,4
2024-04-26,2806,2804,SZ000889,6.9,0.025942600000000038,6.9,6.9,0.0,2.3834912433333333,1.4843248226,0.004364496291988798,0.00037411122985966076,7.9395057125693125,1,1,1,2,3,6,3,5,9,5,8,15
2024-04-29,2806,2805,SH600076,-0.032258064,0.0018584600000000062,0.43037975,0.18823853,0.220496594,-0.014949019333333334,-0.006467308200000002,0.004215706629999309,0.00036881777100333454,7.939506362157882,0,0,0,1,1,1,1,1,1,2,2,2
2024-04-30,2781,2780,SH600727,0.10063272,0.0007930299999999724,0.30973452,0.1816839,0.08105118000000001,0.0528929,0.063161214,0.004200357878388981,0.0003753568766564719,7.93055701276708,0,0,1,1,1,3,1,1,4,3,3,8
2024-05-06,2818,2816,SZ000692,0.14096302,0.0005870700000000229,0.2635135,0.20344457,0.06248155,0.07388476399999999,0.07475186999999998,0.004167303923623043,0.0003670288009267843,7.943773997919797,1,1,1,3,3,4,3,3,5,4,6,12
2024-05-07,2816,2813,SH600727,0.018130746,0.0022985899999999893,0.24937965,0.24937965,0.231248904,-0.04713045800000001,-0.0550349542,0.0044467584696324305,0.0003639738345041148,7.943062820201533,0,0,0,1,1,2,3,4,5,3,5,7
2024-05-08,2814,2812,SZ000889,0.12182741,0.012870240000000033,0.18341807,0.18341807,0.06159065999999999,0.030299858333333332,-0.013854086600000001,0.004505962126334131,0.0003667240442495637,7.942352073156946,0,1,1,0,1,1,0,2,3,2,4,6
2024-05-09,2812,2811,SZ000889,0.022624435,0.007427349999999944,0.26054853,0.26054853,0.237924095,-0.05913652833333333,-0.0597115632,0.004457982133154578,0.0003649297903941813,7.941641304851396,0,0,0,0,0,0,1,1,1,2,3,3
2024-05-10,2812,2811,SZ000889,-0.06637168,0.004981200000000019,0.16367102,0.16367102,0.2300427,-0.076954643,-0.02940704520000001,0.00449331536915409,0.00036454297551624264,7.941641146025987,0,0,0,0,0,2,0,0,2,3,5,11
2024-05-13,2811,2810,SZ000889,0.27962086,0.0032629000000000685,0.27962086,0.27962086,0.0,0.08802715133333334,0.0388718336,0.004236904047100353,0.0003634373816349421,7.9412865838714275,1,1,1,1,2,2,2,3,6,3,4,9
2024-05-14,2815,2814,SZ000889,0.14444445,0.00040733000000003905,0.19735038,0.19735038,0.05290592999999999,0.11936639266666667,0.0635567442,0.00432255313033323,0.0003621242059564517,7.942708187184461,1,1,1,2,2,2,2,2,4,4,4,9
2024-05-15,2813,2812,SH600198,-0.010695187,0.0004944999999999533,0.20201097,0.20201097,0.212706157,-0.060808698333333334,-0.010617312200000003,0.004419609160095676,0.00036238090640278094,7.941997029235693,0,0,0,0,0,1,2,2,4,3,4,8
2024-05-16,2806,2806,SH600198,0.097297296,0.001406789999999991,0.19923858,0.19923858,0.101941284,0.13121248866666665,0.0521531829,0.0043507397817910114,0.00036306224225766026,7.9395057850798025,0,0,1,1,2,5,2,3,7,3,4,9
2024-05-17,2802,2801,SH600198,-0.07881773,0.00896227000000005,0.16393442,0.16393442,0.24275215,-0.08590743266666667,-0.0668993762,0.004392275264051558,0.0003664214895144035,7.938079062032299,0,0,0,0,2,2,1,3,5,2,4,7
2024-05-20,2796,2796,SH600198,-0.06417112,0.006551959999999912,0.16176471,0.16176471,0.22593583,-0.009713968666666664,-0.005886497999999999,0.0043536625309536486,0.00036738937519490783,7.935935609672031,0,0,0,1,2,3,3,6,7,3,6,9
