strategy,combo,size,variant_kind,variant_method,scenario,num_days,gross_mean_return,gross_cumulative_return,gross_sharpe,mean_return,cumulative_return,sharpe,switch_count,same_code_streak_days,avg_entry_cost_bps,avg_exit_cost_bps
itransformer+wpmixer+dlinear_a01::combo::zscore_mean,itransformer+wpmixer+dlinear_a01,3,combo,zscore_mean,base,2340,0.011170870841444443,-0.9573453579472867,0.6130834336710369,0.009560152364881603,-0.9989932198157874,0.5252669531125826,1782,557,6.095726495726495,9.905555555555555
"itransformer+patchtst+timemixer+timesnet::weighted_rank::{""dominant"": ""timemixer"", ""weights"": [0.2, 0.2, 0.4, 0.2]}",itransformer+patchtst+timemixer+timesnet,4,weighted_rank,"{""dominant"": ""timemixer"", ""weights"": [0.2, 0.2, 0.4, 0.2]}",base,2340,0.010296712269146057,-0.9874519589372088,0.5709292843319851,0.009557064508641537,-0.9977455365215164,0.530377982188351,816,1523,2.793162393162393,4.538888888888889
patchtst+wpmixer+timemixer+dlinear_a01::combo::zscore_mean,patchtst+wpmixer+timemixer+dlinear_a01,4,combo,zscore_mean,base,2340,0.010904645927688033,-0.9947287713092832,0.5966102174129597,0.009529078199759965,-0.9997824235927774,0.5222002149246783,1516,823,5.1863247863247866,8.427777777777777
"itransformer+patchtst+timesnet::weighted_rank::{""dominant"": ""patchtst"", ""weights"": [0.25, 0.5, 0.25]}",itransformer+patchtst+timesnet,3,weighted_rank,"{""dominant"": ""patchtst"", ""weights"": [0.25, 0.5, 0.25]}",base,2340,0.01028594360266573,-0.9864863675691455,0.5705557218259159,0.009506537365269633,-0.9977864553549243,0.5277815023566245,860,1479,2.943589743589744,4.783333333333333
itransformer+patchtst+timemixer+dlinear_a01::combo::zscore_mean,itransformer+patchtst+timemixer+dlinear_a01,4,combo,zscore_mean,base,2340,0.010841715003623931,-0.9946743260460048,0.5928005899879009,0.00946245904117547,-0.9997842942139684,0.5179637362856954,1525,814,5.217094017094017,8.477777777777778
itransformer+patchtst+timemixer+timesnet::combo::rank_mean,itransformer+patchtst+timemixer+timesnet,4,combo,rank_mean,base,2340,0.01020023301934053,-0.9899729695075354,0.5656001183830938,0.009440344928927806,-0.9982834694418213,0.5239166239424383,839,1500,2.871794871794872,4.666666666666667
itransformer+timemixer::combo::rank_mean,itransformer+timemixer,2,combo,rank_mean,base,2340,0.01018556236670865,-0.9872089586584554,0.5654106767489688,0.009431582036389857,-0.9977825172261214,0.5240024667080644,833,1506,2.8512820512820514,4.633333333333334
patchtst+timemixer+timesnet+dlinear_a01::combo::zscore_mean,patchtst+timemixer+timesnet+dlinear_a01,4,combo,zscore_mean,base,2340,0.010684068772307691,-0.9971233159735065,0.583739694656578,0.009307519026690072,-0.9998820074654085,0.5093524312896129,1519,820,5.196581196581197,8.444444444444445
"itransformer+timemixer::weighted_rank::{""dominant"": ""itransformer"", ""weights"": [0.6, 0.4]}",itransformer+timemixer,2,weighted_rank,"{""dominant"": ""itransformer"", ""weights"": [0.6, 0.4]}",base,2340,0.010044332034926823,-0.9798688836078222,0.5600626924760862,0.00925011191096208,-0.9968248913006221,0.5162202158405574,878,1461,3.005128205128205,4.883333333333334
"itransformer+patchtst+timemixer+timesnet::weighted_rank::{""dominant"": ""timesnet"", ""weights"": [0.2, 0.2, 0.2, 0.4]}",itransformer+patchtst+timemixer+timesnet,4,weighted_rank,"{""dominant"": ""timesnet"", ""weights"": [0.2, 0.2, 0.2, 0.4]}",base,2340,0.010035626345509094,-0.9934374010764847,0.5556260444896473,0.009230119996333441,-0.9989843270687445,0.5114917437253693,887,1452,3.0358974358974358,4.933333333333334
