date,code,pred,true,selected_source,gated_active_selector,confidence_edge
2016-05-03,SH600609,0.15942939,-0.0032835144,right,False,-0.016517350000000014
2016-05-04,SZ002717,0.14966677,-0.08617571,left,True,0.021891595
2016-05-05,SH600609,0.14812365,-0.14344525,right,False,0.015539179999999986
2016-05-06,SZ002717,0.14050628,-0.0060531814,left,True,0.02568451000000002
2016-05-09,SH600609,0.14926559,-0.020507673,right,False,0.013179269999999993
2016-05-10,SH600609,0.14463314,0.041874085,right,False,0.002598484000000012
2016-05-11,SH600609,0.15151395,-0.020095559,right,False,-0.006470640000000014
2016-05-12,SH600609,0.15631723,0.04918973,right,False,-0.01663711000000001
2016-05-13,SH600609,0.14758211,0.031301256,right,False,-0.013472484999999992
2016-05-16,SH600609,0.14359193,-0.049304176,right,False,-0.005184300000000017
2016-05-17,SH600609,0.14487928,0.01993587,right,False,-0.004424049999999999
2016-05-18,SH600609,0.14590709,0.015582286,right,False,0.003599795000000003
2016-05-19,SH600609,0.14489505,0.015477792,right,False,0.003934979999999991
2016-05-20,SH600609,0.14436774,0.030218689,right,False,-0.003658829999999988
2016-05-23,SH600609,0.1416467,-0.018397015,right,False,-0.007009499999999988
2016-05-24,SH600609,0.14386402,-0.0036697248,right,False,-0.007487980000000005
2016-05-25,SH600609,0.13993269,-0.026308866,right,False,-0.015767425
2016-05-26,SH600609,0.13898183,-0.023236964,right,False,-0.008914740000000004
2016-05-27,SH600727,0.12877966,0.08901919,right,False,0.0030513800000000063
2016-05-30,SH600609,0.12502556,0.029567463,right,False,-0.00018084000000000156
2016-05-31,SH600609,0.12267488,0.021444695,right,False,0.00324257
2016-06-01,SH600609,0.12498517,-0.020994475,right,False,-2.5540000000018326e-05
2016-06-02,SH600609,0.12757544,-0.017933283,right,False,-0.00380192800000001
2016-06-03,SZ300331,0.1238934,-0.040163375,right,False,0.004444675999999995
2016-06-06,SZ300331,0.12385884,-0.04326241,right,False,0.002330310000000002
2016-06-07,SZ300331,0.120859616,-0.074128985,right,False,0.003107183999999999
2016-06-08,SZ300331,0.11605949,-0.018014412,right,False,0.002144644000000001
2016-06-13,SZ300331,0.11764334,0.05095801,right,False,-0.0018212040000000068
2016-06-14,SZ300331,0.11560727,0.043056633,right,False,0.004102640000000005
2016-06-15,SH600609,0.11769486,-0.0033783785,right,False,-0.0016931249999999898
2016-06-16,SH603318,0.114035346,0.047368422,right,False,0.0003309340000000188
2016-06-17,SZ300331,0.112957485,-0.033063922,right,False,0.0021148400000000067
2016-06-20,SH603318,0.11625543,0.11298482,right,False,0.002163764999999998
2016-06-21,SZ300331,0.11465948,0.116647795,right,False,0.0010418110000000036
2016-06-22,SH603318,0.11664231,-0.01907357,right,False,0.004362358000000011
2016-06-23,SH603318,0.11774276,0.027777778,right,False,0.003957185000000002
2016-06-24,SH603318,0.11980427,0.046666667,right,False,0.0018248699999999923
